,Id,Vistas,likes,Comentarios,C_id,Data,Título,C_data,C_Título,País,C_vistas,Subscriptores,No Videos,Titulo,Status,Categoria,Duracao,Data_tendencia
387,CN5VUjP-3F8,192643.0,12754.0,942.0,UC2EWGw-KBjEReUbXMJEiaCA,2022-09-14 08:01:00+00:00,,2015-10-16 21:40:41+00:00,MasterChef Brasil,BR,3320394662,4700000.0,2488,ESTREIA MASTERCHEF PROFISSIONAIS (13/09/2022) | PARTE 2 | EP 01 | TEMP 04,1,Entertainment,1143.0,2022-09-15 00:00:00+00:00
388,7ozTDgILefY,68759.0,590.0,1.0,UC0WYRNtJAVUxSA9iP7kIoTA,2022-09-16 01:52:06+00:00,,2016-10-03 18:03:31+00:00,Na Rede Oficial,BR,35075863,128000.0,1569,CORINTHIANS X FLUMINENSE AO VIVO -  COPA DO BRASIL 2022 - SEMIFINAL,0,Sports,14655.0,
389,zQcN6zOsVcA,68781.0,10912.0,1008.0,UC6Xqz2pm50gDCORYztqhDpg,2022-09-16 10:26:39+00:00,,2012-08-14 21:40:19+00:00,League of Legends Brasil,,128498945,1140000.0,591,League of Legends | Espíritos Errantes – Trailer Florescer Espiritual 2022,1,Gaming,116.0,2022-09-17 00:00:00+00:00
390,69qvXZ5t5dQ,5594.0,323.0,13.0,UCDoiIS3docdxXW9opl8ESoA,2022-09-09 03:23:15+00:00,,2015-09-06 12:07:08+00:00,Mark Holmes,US,38768272,46400.0,8932,Rams Vs Bills Live Stream Reaction,0,Sports,6875.0,
391,jZmW01kkiwE,5592.0,6603.0,323.0,UCc1l5mTmAv2GC_PXrBpqyKQ,2022-08-23 15:00:00+00:00,Fate: A Saga Winx | Temporada 2 - Trailer oficial | Netflix,2014-07-09 23:51:52+00:00,Netflix Brasil,BR,849346984,9680000.0,3542,,1,Entertainment,135.0,2022-08-24 00:00:00+00:00
392,Q-kReeWvPOg,52103.0,3468.0,89.0,UC9JPNM6VyxUrmZb3SPp3zwA,2022-09-13 22:50:22+00:00,,2013-08-08 12:46:57+00:00,Programa do Ratinho,BR,216994570,1230000.0,2181,Entrevista com o Pastor Cláudio Duarte | Programa do Ratinho (12/09/22),0,Entertainment,1995.0,
393,4GhBmRkxsFM,52114.0,4143.0,900.0,UCLDeVbXbDNVHjQzdAm0xfuA,2022-08-29 22:45:01+00:00,ENCCEJA 2022 - SEGUNDA CHAMADA,2011-09-28 03:11:29+00:00,Termine Seus Estudos,BR,50934997,1030000.0,955,,1,Education,759.0,2022-08-31 00:00:00+00:00
394,RbSJ8Bxm6EU,28802.0,1020.0,6.0,UCcYw1UUwxjIMYfvmdQrcyUA,2022-08-27 02:00:08+00:00,MULTISUB【极道龙神 Rise of the dragon】EP09 | 雷霆之上！唯我无敌！ | 玄幻古风漫 | 优酷动漫 YOUKU ANIMATION,2020-02-29 10:47:21.727382+00:00,YOUKU ANIMATION-Get APP Now,US,94562934,424000.0,2241,,0,Film & Animation,645.0,
395,lm-ZsF9oeyk,28795.0,6454.0,1460.0,UCQFR_e9rTq-DfencZY9Md8Q,2022-09-04 16:17:17+00:00,,2015-01-06 01:59:43+00:00,INSTA VERDE TV,BR,54956954,229000.0,2741,SEGUE O LÍDER CALADINHO,1,Entertainment,145.0,2022-09-05 00:00:00+00:00
396,kfwZh9u9Y5U,415328.0,9311.0,4470.0,UCVFbXI6Gu8U2f9Gjtxw4A-Q,2022-08-26 00:08:41+00:00,"Lula no Jornal Nacional: &#39;Bolsonaro parece um bobo da corte, não manda em nada&#39;",2006-03-19 15:34:42+00:00,UOL,BR,1400184755,2480000.0,33763,,0,News & Politics,72.0,
